reporter_iso3,year,hs_cmd,imports_from_china_usd
THA,2019,85,24504906.194
THA,2019,84,456956.721
THA,2019,84,7657777768.973
THA,2019,84,20176.038
THA,2019,84,11041.811
THA,2019,84,333409.886
THA,2019,85,406388.01
THA,2019,85,598255704.319
THA,2019,85,1486310.487
THA,2019,85,4527.579
THA,2019,85,2454.607
THA,2019,85,98754.047
THA,2019,85,161179.7
THA,2019,85,277449.439
THA,2019,85,497090.359
THA,2019,85,245439.324
THA,2019,84,2354934.735
THA,2019,84,831992.091
THA,2019,84,1399387063.987
THA,2019,85,7175654775.01
THA,2019,85,1788353.76
THA,2019,85,565.809
THA,2019,85,180.226
THA,2019,85,272.683
THA,2019,84,292.057
THA,2019,84,17500.911
THA,2019,84,30079.622
THA,2019,85,75871.904
